ID_IPEDS,YEAR,ENROLL_FTUG,GRANT_FEDERAL,GRANT_STATE,NETPRICE,PUBLIC,DEGREE_BACH,TYPE,TN_PROMISE
220765,2013,390,1037117,0,12506,0,0,two-year private,0
220765,2014,262,640844,0,11590,0,0,two-year private,0
220765,2015,192,766648,0,11664,0,0,two-year private,1
220808,2010,76,216843,108375,21710,0,1,four-year private,0
220808,2011,94,326319,232006,20203,0,1,four-year private,0
220808,2012,68,152132,114000,21260,0,1,four-year private,0
220808,2013,111,270985,292500,19123,0,1,four-year private,0
220808,2014,102,337997,260250,20714,0,1,four-year private,0
220808,2015,80,290105,222875,22689,0,1,four-year private,1
220853,2010,659,2464685,598000,7090,1,0,two-year public,0
220853,2011,692,2588050,594200,6436,1,0,two-year public,0
220853,2012,569,1938000,418569,6306,1,0,two-year public,0
220853,2013,824,2919130,1217000,6603,1,0,two-year public,0
220853,2014,969,2511120,1281655,6117,1,0,two-year public,0
220853,2015,1277,3222751,2023437,7059,1,0,two-year public,1
220862,2010,2386,6714124,8145587,10111,1,1,four-year public,0
220862,2011,2497,6602961,9644174,11237,1,1,four-year public,0
220862,2012,2194,5040365,8702372,12060,1,1,four-year public,0
220862,2013,2088,5162576,8433774,12369,1,1,four-year public,0
220862,2014,2317,5822234,9127475,13154,1,1,four-year public,0
220862,2015,2053,4932993,7201094,13291,1,1,four-year public,1
220978,2010,3793,9647451,14213904,9148,1,1,four-year public,0
220978,2011,3466,7976462,14552670,8855,1,1,four-year public,0
220978,2012,3068,7355121,12919107,9315,1,1,four-year public,0
220978,2013,3129,7724443,13268201,10910,1,1,four-year public,0
220978,2014,3036,7230154,13079708,11000,1,1,four-year public,0
220978,2015,2793,6932487,10760797,11744,1,1,four-year public,1
221050,2010,463,639222,558674,7561,1,0,two-year public,0
221050,2011,427,635416,528880,8002,1,0,two-year public,0
221050,2012,393,590825,691081,9815,1,0,two-year public,0
221050,2013,396,735620,634938,8656,1,0,two-year public,0
221050,2014,450,827500,696030,10262,1,0,two-year public,0
221050,2015,473,921375,783000,10285,1,0,two-year public,1
221096,2010,1009,2246656,959406,7686,1,0,two-year public,0
221096,2011,994,2130434,1068253,8746,1,0,two-year public,0
221096,2012,811,1606249,954709,8012,1,0,two-year public,0
221096,2013,925,1869358,1072126,8249,1,0,two-year public,0
221096,2014,916,1895491,1426147,8307,1,0,two-year public,0
221096,2015,1796,3693729,5189647,7611,1,0,two-year public,1
221102,2010,457,657663,431680,11796,1,0,two-year public,0
221102,2011,497,804589,478862,10155,1,0,two-year public,0
221102,2012,510,886936,539772,10450,1,0,two-year public,0
221102,2013,493,733342,393694,10628,1,0,two-year public,0
221102,2014,446,627986,341143,10704,1,0,two-year public,0
221102,2015,424,784944,670699,10308,1,0,two-year public,1
221148,2010,1639,5053253,19000,12689,0,0,two-year private,0
221148,2011,922,2540430,18000,19688,0,0,two-year private,0
221148,2012,1165,3799979,19000,14086,0,0,two-year private,0
221148,2013,581,1900819,33000,17505,0,0,two-year private,0
221148,2014,439,1332481,9000,18779,0,0,two-year private,0
221148,2015,429,1121178,6000,19388,0,0,two-year private,1
221157,2010,186,656016,6000,21864,0,0,two-year private,0
221157,2011,189,605140,10000,21758,0,0,two-year private,0
221157,2012,163,633104,8000,22257,0,0,two-year private,0
221157,2013,156,733186,17000,19871,0,0,two-year private,0
221157,2014,148,702877,4000,20029,0,0,two-year private,0
221157,2015,138,580211,10000,19788,0,0,two-year private,1
221184,2010,889,2743702,439323,5462,1,0,two-year public,0
221184,2011,875,2986401,551228,6260,1,0,two-year public,0
221184,2012,825,2863278,567002,6088,1,0,two-year public,0
221184,2013,844,3049961,631070,7898,1,0,two-year public,0
221184,2014,1043,4087548,1013715,4776,1,0,two-year public,0
221184,2015,1798,5646010,3659611,3400,1,0,two-year public,1
221236,2010,181,881350,356950,491,1,0,two-year public,0
221236,2011,306,1238472,497432,4325,1,0,two-year public,0
